#,Company,Symbol,Weight,Price,Chg,% Chg,Dividend
78,TJX Companies Inc,TJX,0.275993,   63.68,-0.13,(-0.20%),0
79,Anthem Inc.,ANTM,0.275007,   295.00,-9.06,(-2.98%),0
80,S&P Global Inc.,SPGI,0.271625,   302.30,-8.86,(-2.85%),0
81,Caterpillar Inc.,CAT,0.269787,   137.39,0.53,-0.39%,0
82,Goldman Sachs Group Inc.,GS,0.269768,   232.08,-5.25,(-2.21%),0
83,United Parcel Service Inc. Class B,UPS,0.266839,   106.21,-0.55,(-0.52%),0
84,Chubb Limited,CB,0.265261,   163.17,-1.05,(-0.64%),0
85,CME Group Inc. Class A,CME,0.265228,   208.16,0.66,-0.32%,0
86,Duke Energy Corporation,DUK,0.263723,   101.25,-0.17,(-0.17%),0
87,Truist Financial Corporation,TFC,0.261206,   55.08,0.47,-0.86%,0
88,Stryker Corporation,SYK,0.258519,   223.47,-1.63,(-0.72%),0
89,Dominion Energy Inc,D,0.257867,   88.70,0.86,-0.98%,0
90,Prologis Inc.,PLD,0.257627,   98.14,0.37,-0.38%,0
91,Southern Company,SO,0.256635,   69.25,0.64,-0.93%,0
92,Intuitive Surgical Inc.,ISRG,0.25351,   612.13,-2.75,(-0.45%),0
93,Fiserv Inc.,FISV,0.251678,   121.01,-2.54,(-2.06%),0
94,Morgan Stanley,MS,0.247056,   54.04,-2.27,(-4.03%),0
95,Becton Dickinson and Company,BDX,0.247027,   253.71,-2.37,(-0.92%),0
96,Advanced Micro Devices Inc.,AMD,0.245462,   57.16,-1.75,(-2.96%),0
97,Crown Castle International Corp,CCI,0.244272,   167.05,1.45,-0.88%,0
98,Zoetis Inc. Class A,ZTS,0.24414,   143.15,-0.91,(-0.63%),0
99,BlackRock Inc.,BLK,0.240635,   567.06,-5.02,(-0.88%),0
100,ServiceNow Inc.,NOW,0.240597,   350.87,-6.85,(-1.91%),0
101,PNC Financial Services Group Inc.,PNC,0.239662,   153.83,0.48,-0.31%,0
102,Micron Technology Inc.,MU,0.236867,   58.85,-1.14,(-1.90%),0
103,Allergan plc,AGN,0.232228,   198.18,-0.63,(-0.32%),0
104,ConocoPhillips,COP,0.231915,   58.81,-0.46,(-0.77%),0
105,Colgate-Palmolive Company,CL,0.230375,   74.71,-0.83,(-1.10%),0
