#,Company,Symbol,Weight,Price,Chg,% Chg,Dividend
341,Incyte Corporation,INCY,0.051858,   82.05,-0.37,(-0.45%),0
342,Huntington Bancshares Incorporated,HBAN,0.051823,   14.11,0.08,-0.57%,0
343,Nucor Corporation,NUE,0.051709,   47.80,0.09,-0.19%,0
344,AmerisourceBergen Corporation,ABC,0.051469,   95.16,0.03,-0.03%,0
345,Principal Financial Group Inc.,PFG,0.051417,   55.97,0.06,-0.11%,0
346,Genuine Parts Company,GPC,0.051398,   99.45,0.1,-0.10%,0
347,Conagra Brands Inc.,CAG,0.05137,   29.84,0.04,-0.12%,0
348,Tiffany & Co.,TIF,0.051261,   134.18,-0.07,(-0.05%),0
349,International Flavors & Fragrances Inc.,IFF,0.051034,   133.06,-1.2,(-0.89%),0
350,Westinghouse Air Brake Technologies Corporation,WAB,0.050995,   79.23,0.59,-0.75%,0
351,Old Dominion Freight Line Inc.,ODFL,0.050968,   225.54,0.5,-0.22%,0
352,Atmos Energy Corporation,ATO,0.050913,   119.45,-0.15,(-0.13%),0
353,STERIS Plc,STE,0.050882,   168.00,-0.26,(-0.15%),0
354,Hologic Inc.,HOLX,0.05041,   52.35,-0.61,(-1.15%),0
355,Duke Realty Corporation,DRE,0.050289,   38.46,0.1,-0.26%,0
356,Broadridge Financial Solutions Inc.,BR,0.050004,   119.57,-3.31,(-2.69%),0
357,Alliant Energy Corp,LNT,0.049806,   59.39,-0.08,(-0.13%),0
358,Waters Corporation,WAT,0.049801,   216.78,0.13,-0.06%,0
359,FMC Corporation,FMC,0.049721,   108.38,1.93,-1.81%,0
360,Loews Corporation,L,0.049701,   53.87,0.16,-0.30%,0
361,SVB Financial Group,SIVB,0.049132,   269.16,2.17,-0.81%,0
362,AES Corporation,AES,0.049092,   20.74,-0.17,(-0.81%),0
363,NVR Inc.,NVR,0.049061,"   3,997.66",31.71,-0.80%,0
364,Lamb Weston Holdings Inc.,LW,0.049003,   94.42,0.07,-0.07%,0
365,Jacobs Engineering Group Inc.,J,0.048956,   101.76,0.3,-0.30%,0
366,Gartner Inc.,IT,0.04862,   154.31,0.61,-0.40%,0
367,Extra Space Storage Inc.,EXR,0.048539,   106.06,-1.42,(-1.32%),0
368,W.W. Grainger Inc.,GWW,0.048308,   308.69,1.55,-0.50%,0
369,Baker Hughes Company Class A,BKR,0.048142,   20.68,-0.14,(-0.65%),0
370,Cboe Global Markets Inc,CBOE,0.047723,   122.30,1.86,-1.54%,0
371,Nasdaq Inc.,NDAQ,0.047562,   114.45,-0.82,(-0.71%),0
372,Fox Corporation Class A,FOXA,0.047514,   36.61,-1.43,(-3.75%),0
373,Varian Medical Systems Inc.,VAR,0.047431,   145.52,-1.08,(-0.74%),0
374,Jack Henry & Associates Inc.,JKHY,0.047155,   172.86,-0.96,(-0.55%),0
375,Arconic Inc.,ARNC,0.046979,   33.58,-0.5,(-1.45%),0
376,CenterPoint Energy Inc.,CNP,0.046893,   25.84,-0.6,(-2.25%),0
377,Hormel Foods Corporation,HRL,0.046831,   45.56,-2.88,(-5.94%),0
378,DENTSPLY SIRONA Inc.,XRAY,0.046749,   57.37,-1.22,(-2.08%),0
379,Wynn Resorts Limited,WYNN,0.046659,   132.68,-3.49,(-2.56%),0
380,Celanese Corporation,CE,0.046638,   108.48,0.23,-0.21%,0
381,Expeditors International of Washington Inc.,EXPD,0.046428,   75.42,-0.76,(-1.00%),0
382,Masco Corporation,MAS,0.046371,   45.25,0.22,-0.49%,0
383,Brown-Forman Corporation Class B,BF.B,0.046272,   71.24,-0.16,(-0.22%),0
384,Zebra Technologies Corporation Class A,ZBRA,0.046229,   240.92,0.42,-0.17%,0
385,IDEX Corporation,IEX,0.0462,   173.81,0.27,-0.16%,0
386,Diamondback Energy Inc.,FANG,0.046012,   78.59,-0.7,(-0.88%),0
387,MarketAxess Holdings Inc.,MKTX,0.045843,   340.76,-0.92,(-0.27%),0
388,CenturyLink Inc.,CTL,0.045558,   13.29,-0.05,(-0.34%),0
389,Take-Two Interactive Software Inc.,TTWO,0.045209,   114.16,0.62,-0.54%,0
390,J.M. Smucker Company,SJM,0.044645,   109.73,-0.93,(-0.84%),0
391,Raymond James Financial Inc.,RJF,0.044536,   101.12,-0.14,(-0.14%),0
392,Seagate Technology PLC,STX,0.044449,   54.69,0.74,-1.37%,0
393,Hasbro Inc.,HAS,0.044344,   97.89,0.21,-0.21%,0
394,Allegion PLC,ALLE,0.043622,   129.95,-1.21,(-0.92%),0
395,Arista Networks Inc.,ANET,0.043614,   226.76,1.74,-0.77%,0
396,Qorvo Inc.,QRVO,0.043614,   101.31,-2.93,(-2.81%),0
397,Host Hotels & Resorts Inc.,HST,0.043393,   17.02,0.31,-1.86%,0
398,Lincoln National Corporation,LNC,0.043352,   61.14,0.28,-0.45%,0
399,NetApp Inc.,NTAP,0.04331,   53.07,-0.14,(-0.26%),0
400,PulteGroup Inc.,PHM,0.042544,   46.54,-0.01,(-0.02%),0
