Company,Symbol,Price,Dividend
American International Group Inc.,AIG,49.73,0
Simon Property Group Inc.,SPG,139.74,0
Dollar General Corporation,DG,165.04,0
MetLife Inc.,MET,52.05,0
Allstate Corporation,ALL,123.71,0
Roper Technologies Inc.,ROP,384.29,0
Marriott International Inc. Class A,MAR,146.52,0
HCA Healthcare Inc,HCA,148.25,0
DuPont de Nemours Inc.,DD,52.31,0
Phillips 66,PSX,89.56,0
Centene Corporation,CNC,65.69,0
Walgreens Boots Alliance Inc,WBA,52.04,0
Sysco Corporation,SYY,76.65,0
Bank of New York Mellon Corporation,BK,45.84,0
FedEx Corporation,FDX,163.56,0
Occidental Petroleum Corporation,OXY,42.83,0
Aflac Incorporated,AFL,51.40,0
Cognizant Technology Solutions Corporation Class A,CTSH,69.03,0
Newmont Corporation,NEM,48.49,0
Marathon Petroleum Corporation,MPC,59.92,0
Prudential Financial Inc.,PRU,93.46,0
Xcel Energy Inc.,XEL,70.63,0
Welltower Inc.,WELL,87.49,0
Dow Inc.,DOW,47.97,0
Ingersoll-Rand Plc,IR,145.51,0
Travelers Companies Inc.,TRV,133.71,0
Constellation Brands Inc. Class A,STZ,206.53,0
Valero Energy Corporation,VLO,83.89,0
Delta Air Lines Inc.,DAL,58.57,0
HP Inc.,HPQ,22.76,0
Zimmer Biomet Holdings Inc.,ZBH,159.11,0
T. Rowe Price Group,TROW,137.65,0
SBA Communications Corp. Class A,SBAC,288.06,0
Public Storage,PSA,220.17,0
IHS Markit Ltd.,INFO,80.27,0
Johnson Controls International plc,JCI,42.22,0
General Mills Inc.,GIS,53.74,0
WEC Energy Group Inc,WEC,102.13,0
Electronic Arts Inc.,EA,108.11,0
Yum! Brands Inc.,YUM,103.46,0
Regeneron Pharmaceuticals Inc.,REGN,397.10,0
Motorola Solutions Inc.,MSI,184.55,0
Hilton Worldwide Holdings Inc,HLT,111.91,0
TransDigm Group Incorporated,TDG,632.38,0
T-Mobile US Inc.,TMUS,98.73,0
ONEOK Inc.,OKE,77.52,0
AvalonBay Communities Inc.,AVB,226.42,0
TE Connectivity Ltd.,TEL,92.90,0
Ford Motor Company,F,8.04,0
Consolidated Edison Inc.,ED,94.12,0
Amphenol Corporation Class A,APH,103.42,0
McKesson Corporation,MCK,167.82,0
Eversource Energy,ES,95.43,0
Twitter Inc.,TWTR,38.54,0
Equity Residential,EQR,85.93,0
O'Reilly Automotive Inc.,ORLY,393.36,0
IQVIA Holdings Inc,IQV,162.75,0
Public Service Enterprise Group Inc,PEG,59.08,0
eBay Inc.,EBAY,37.43,0
State Street Corporation,STT,78.06,0
Paychex Inc.,PAYX,89.56,0
PPG Industries Inc.,PPG,118.98,0
FirstEnergy Corp.,FE,51.97,0
MSCI Inc. Class A,MSCI,321.18,0
Verisk Analytics Inc,VRSK,168.23,0
FleetCor Technologies Inc.,FLT,315.77,0
KLA Corporation,KLAC,168.66,0
Edison International,EIX,77.19,0
Digital Realty Trust Inc.,DLR,135.11,0
V.F. Corporation,VFC,83.48,0
Willis Towers Watson Public Limited Company,WLTW,209.23,0
Parker-Hannifin Corporation,PH,214.46,0
Southwest Airlines Co.,LUV,56.90,0
Monster Beverage Corporation,MNST,70.08,0
Entergy Corporation,ETR,131.38,0
Agilent Technologies Inc.,A,84.09,0
Microchip Technology Incorporated,MCHP,107.85,0
Realty Income Corporation,O,81.53,0
Williams Companies Inc.,WMB,22.06,0
DTE Energy Company,DTE,133.62,0
Cummins Inc.,CMI,168.14,0
PACCAR Inc,PCAR,75.27,0
AutoZone Inc.,AZO, 1,0
ANSYS Inc.,ANSS,292.16,0
PPL Corporation,PPL,35.41,0
